age,female,"bs(age, df=5, degree=2, include_intercept=False)[0]","bs(age, df=5, degree=2, include_intercept=False)[1]","bs(age, df=5, degree=2, include_intercept=False)[2]","bs(age, df=5, degree=2, include_intercept=False)[3]","bs(age, df=5, degree=2, include_intercept=False)[4]","bs(age, df=5, degree=2, include_intercept=False)[0]:female","bs(age, df=5, degree=2, include_intercept=False)[1]:female","bs(age, df=5, degree=2, include_intercept=False)[2]:female","bs(age, df=5, degree=2, include_intercept=False)[3]:female","bs(age, df=5, degree=2, include_intercept=False)[4]:female"
45.0,1,0.0,0.4999999999999917,0.5000000000000083,1.9474290427828257e-29,0.0,0.0,0.4999999999999917,0.5000000000000083,1.9474290427828257e-29,0.0
45.083,0,0.0,0.49511005382544326,0.5048832495068185,6.696667738156724e-06,0.0,0.0,0.0,0.0,0.0,0.0
45.083,1,0.0,0.49511005382544326,0.5048832495068185,6.696667738156724e-06,0.0,0.0,0.49511005382544326,0.5048832495068185,6.696667738156724e-06,0.0
45.167,0,0.0,0.4902441368704259,0.5097290764586215,2.6786670952581218e-05,0.0,0.0,0.0,0.0,0.0,0.0
45.167,1,0.0,0.4902441368704259,0.5097290764586215,2.6786670952581218e-05,0.0,0.0,0.4902441368704259,0.5097290764586215,2.6786670952581218e-05,0.0
45.25,0,0.0,0.4854022491349394,0.5145374808554172,6.027000964327349e-05,0.0,0.0,0.0,0.0,0.0,0.0
45.25,1,0.0,0.4854022491349394,0.5145374808554172,6.027000964327349e-05,0.0,0.0,0.4854022491349394,0.5145374808554172,6.027000964327349e-05,0.0
45.333,0,0.0,0.48058439061898395,0.5193084626972058,0.00010714668381023353,0.0,0.0,0.0,0.0,0.0,0.0
45.333,1,0.0,0.48058439061898395,0.5193084626972058,0.00010714668381023353,0.0,0.0,0.48058439061898395,0.5193084626972058,0.00010714668381023353,0.0
45.417,0,0.0,0.4757905613225595,0.5240420219839872,0.00016741669345346133,0.0,0.0,0.0,0.0,0.0,0.0
45.417,1,0.0,0.4757905613225595,0.5240420219839872,0.00016741669345346133,0.0,0.0,0.4757905613225595,0.5240420219839872,0.00016741669345346133,0.0
